offer_id,hotel_id,partner_name,room_type,price_per_night,total_price,trivago_displayed_price,cost_per_click_bid,commission_rate,cancellation_policy,breakfast_included,instant_booking,special_offers,nights,price_fluctuation_mean,price_fluctuation_variance,price_history_24h,variance_factor,last_updated
O000011,H00011,Booking.com,Single,135.0,405.0,137.19,1.03,0.14,Free,False,True,,3,132.5,11.67,"[136.88, 137.79, 135.78, 133.02, 128.52, 126.75, 127.7, 127.67, 127.26, 128.1, 128.91, 131.38, 133.01, 132.84, 132.44, 134.36, 134.81, 133.78, 130.99, 134.19, 136.45, 135.05, 135.39, 136.88]",0.0154,2025-07-19T00:10:01.768612
O000012,H00012,Hotwire,Single,186.72,186.72,191.05,1.11,0.094,Free,True,True,Free breakfast,1,186.26,1.5,"[186.19, 186.13, 186.34, 186.44, 188.4, 188.45, 187.44, 184.71, 184.58, 184.87, 186.82, 184.72, 186.28, 187.09, 188.05, 188.35, 186.64, 185.09, 184.37, 185.45, 185.57, 185.59, 186.01, 186.75]",0.0054,2025-07-19T00:10:01.768612
O000013,H00013,Lastminute.com,Deluxe,169.12,676.48,173.06,2.82,0.174,Free,True,False,,4,162.18,9.47,"[165.28, 160.82, 160.16, 156.97, 157.33, 159.55, 161.71, 158.03, 163.52, 159.33, 159.77, 163.33, 165.22, 165.82, 166.17, 163.63, 167.73, 166.48, 161.14, 159.83, 160.12, 160.87, 163.18, 166.22]",0.0204,2025-07-19T00:10:01.768612
O000014,H00014,Agoda,Deluxe,125.4,125.4,121.99,2.26,0.177,Non-refundable,True,True,Pay at hotel,1,122.48,10.19,"[126.9, 125.0, 125.88, 124.65, 127.6, 127.61, 123.64, 124.02, 121.37, 124.04, 123.88, 124.07, 120.2, 120.11, 116.44, 117.83, 117.51, 117.9, 118.76, 120.41, 122.81, 122.35, 121.94, 124.66]",0.0196,2025-07-19T00:10:01.768612
O000015,H00015,Expedia,Suite,131.27,525.08,134.86,1.96,0.101,Non-refundable,True,False,Airport shuttle,4,131.08,3.92,"[131.61, 130.46, 129.09, 132.33, 133.85, 133.44, 130.56, 128.34, 129.27, 130.35, 130.66, 131.32, 127.28, 127.42, 129.2, 129.08, 130.56, 133.25, 132.54, 133.51, 132.92, 132.55, 133.29, 133.12]",0.011,2025-07-19T00:10:01.768612
O000016,H00016,HRS,Executive,128.97,128.97,134.47,1.33,0.137,Free,False,False,,1,120.32,47.76,"[129.72, 133.11, 132.71, 130.91, 127.5, 126.66, 126.9, 121.2, 118.64, 119.56, 116.1, 118.14, 117.46, 115.59, 117.27, 118.15, 119.27, 120.27, 120.19, 116.82, 113.09, 108.01, 110.23, 110.14]",0.021,2025-07-19T00:10:01.768612
O000017,H00017,Hotels.com,Twin,315.31,945.93,314.58,2.92,0.198,Partial,True,True,,3,321.1,18.85,"[317.29, 315.01, 318.63, 320.28, 325.32, 325.15, 319.17, 328.25, 326.05, 326.71, 328.13, 328.36, 324.47, 323.22, 319.57, 319.15, 315.5, 315.46, 315.23, 319.35, 320.37, 320.2, 318.15, 317.34]",0.0088,2025-07-19T00:10:01.768612
O000018,H00018,Agoda,Double,74.1,222.3,72.3,2.96,0.197,Partial,False,False,"Free WiFi, Mobile exclusive",3,72.01,6.04,"[68.8, 70.24, 70.47, 73.5, 71.51, 75.18, 76.23, 76.85, 75.79, 70.93, 71.27, 72.65, 73.49, 73.48, 73.79, 72.83, 72.82, 72.2, 71.2, 68.41, 68.73, 70.47, 67.86, 69.54]",0.0225,2025-07-19T00:10:01.768612
O000019,H00019,Orbitz,Double,365.61,731.22,383.55,1.8,0.181,Free,True,True,,2,367.49,16.49,"[368.91, 369.37, 372.66, 370.52, 368.96, 371.23, 371.71, 374.18, 373.95, 374.09, 370.41, 365.55, 364.02, 363.85, 363.59, 362.97, 365.13, 365.87, 366.67, 366.09, 361.36, 363.87, 363.69, 361.08]",0.0071,2025-07-19T00:10:01.768612
O000020,H00020,Hotwire,Single,106.19,106.19,110.51,0.91,0.15,Free,False,True,Room upgrade,1,108.49,5.24,"[106.09, 106.41, 107.5, 108.77, 107.41, 109.31, 109.22, 107.76, 109.07, 111.67, 112.14, 112.02, 113.22, 110.4, 107.85, 109.09, 110.7, 109.04, 107.12, 105.84, 107.31, 106.46, 105.37, 104.1]",0.0164,2025-07-19T00:10:01.768612
O000021,H00021,Lastminute.com,Family,149.01,298.02,144.07,2.24,0.158,Free,True,False,,2,150.92,2.16,"[149.02, 148.59, 148.38, 150.06, 148.38, 149.08, 149.19, 150.05, 151.28, 151.21, 150.39, 152.04, 152.6, 150.88, 152.12, 151.22, 151.45, 152.73, 152.14, 151.91, 152.33, 151.31, 152.81, 152.97]",0.0058,2025-07-19T00:10:01.768612
O000022,H00022,Otel.com,Suite,495.0,1980.0,529.23,1.36,0.117,Partial,True,False,"Spa discount, Free parking",4,502.18,37.7,"[497.54, 499.59, 493.69, 494.42, 492.3, 491.91, 495.46, 494.04, 501.76, 504.8, 505.87, 506.71, 506.77, 512.44, 505.26, 508.12, 503.94, 502.69, 502.85, 499.67, 501.24, 509.89, 511.55, 509.89]",0.0082,2025-07-19T00:10:01.768612
O000023,H00023,Kayak,Single,151.21,302.42,149.41,1.8,0.163,Free,False,False,Late checkout,2,150.49,14.95,"[150.05, 148.5, 149.56, 151.04, 151.89, 151.48, 149.61, 153.51, 152.27, 155.34, 154.1, 154.04, 154.8, 153.37, 150.08, 142.45, 141.62, 142.31, 144.75, 150.59, 152.28, 152.73, 152.15, 153.18]",0.021,2025-07-19T00:10:01.768612
O000024,H00024,Hotels.com,Deluxe,141.12,423.36,143.27,2.42,0.157,Non-refundable,True,True,"Mobile exclusive, Pay at hotel",3,141.54,13.68,"[138.56, 138.09, 138.01, 138.56, 138.35, 137.64, 136.95, 138.24, 138.74, 138.9, 138.49, 137.97, 140.78, 141.62, 143.03, 146.18, 148.71, 147.65, 146.52, 145.11, 143.57, 145.22, 145.16, 144.8]",0.0147,2025-07-19T00:10:01.768612
O000025,H00025,Travelocity,Double,111.54,334.62,113.32,2.11,0.088,Free,True,False,,3,114.72,15.78,"[111.1, 111.47, 108.64, 108.47, 110.06, 111.41, 111.45, 110.75, 110.43, 111.66, 112.88, 114.74, 114.49, 117.3, 116.31, 118.66, 120.2, 119.52, 119.78, 118.77, 118.58, 119.69, 119.23, 117.71]",0.0102,2025-07-19T00:10:01.768612
O000026,H00026,Agoda,Executive,57.0,171.0,55.41,1.66,0.2,Free,False,True,Airport shuttle,3,55.81,0.55,"[55.68, 56.21, 55.79, 55.05, 55.42, 57.06, 57.06, 56.47, 55.61, 55.91, 55.83, 55.19, 54.78, 55.3, 54.93, 54.74, 54.66, 55.45, 55.91, 55.9, 56.4, 56.65, 57.41, 56.03]",0.0159,2025-07-19T00:10:01.768612
O000027,H00027,Lastminute.com,Single,112.05,112.05,114.35,1.62,0.15,Free,False,False,"Free cancellation, Free WiFi",1,114.04,5.61,"[112.53, 112.96, 113.47, 116.75, 114.62, 119.26, 117.75, 115.78, 114.52, 114.89, 115.71, 117.32, 114.64, 110.45, 111.63, 112.48, 113.55, 113.94, 111.36, 109.96, 111.2, 111.59, 114.27, 116.28]",0.0225,2025-07-19T00:10:01.768612
O000028,H00028,Priceline,Executive,331.2,662.4,327.87,2.18,0.169,Non-refundable,False,True,Late checkout,2,325.58,35.63,"[324.52, 327.52, 314.24, 316.59, 320.8, 322.86, 320.95, 316.87, 323.57, 325.37, 320.38, 318.29, 323.24, 328.23, 328.32, 334.46, 334.86, 331.97, 326.53, 334.36, 326.56, 326.49, 333.83, 333.02]",0.0117,2025-07-19T00:10:01.768612
O000029,H00029,Priceline,Twin,496.8,993.6,489.84,2.1,0.1,Non-refundable,False,True,,2,498.02,18.47,"[494.53, 492.73, 491.74, 492.4, 490.53, 491.45, 491.19, 497.57, 502.75, 502.78, 497.9, 499.45, 503.26, 497.31, 498.82, 501.26, 501.97, 502.96, 501.46, 502.29, 501.98, 500.56, 499.69, 495.84]",0.0055,2025-07-19T00:10:01.768612
O000030,H00030,Orbitz,Deluxe,208.34,1041.7,203.87,0.65,0.148,Non-refundable,False,False,Free cancellation,5,210.53,3.74,"[207.39, 208.34, 208.58, 210.86, 212.63, 210.03, 211.91, 210.98, 210.47, 213.19, 212.97, 212.23, 214.39, 211.15, 211.81, 210.0, 209.14, 209.88, 206.27, 209.83, 210.78, 212.0, 210.21, 207.71]",0.0087,2025-07-19T00:10:01.768612
O000031,H00031,Orbitz,Family,64.93,389.58,64.07,1.26,0.1,Free,False,False,Kids stay free,6,62.7,3.26,"[64.43, 64.77, 67.33, 64.99, 64.02, 62.32, 65.78, 60.91, 61.93, 63.05, 63.47, 62.16, 61.02, 61.82, 62.07, 60.71, 61.12, 61.92, 62.97, 64.07, 62.1, 61.65, 59.6, 60.67]",0.0248,2025-07-19T00:10:01.768612
O000032,H00032,Priceline,Executive,55.2,165.6,53.62,2.65,0.095,Free,True,True,,3,55.58,0.44,"[55.31, 54.4, 54.34, 54.52, 54.8, 54.62, 55.56, 55.58, 56.02, 55.77, 56.17, 56.07, 56.61, 56.35, 56.36, 56.13, 56.06, 56.08, 55.08, 55.68, 54.92, 55.51, 55.8, 56.22]",0.0089,2025-07-19T00:10:01.768612
O000033,H00033,Otel.com,Family,55.03,55.03,55.44,2.82,0.172,Partial,True,False,"Free WiFi, Mobile exclusive",1,54.58,0.8,"[55.08, 54.55, 53.66, 54.25, 54.17, 54.67, 55.07, 55.68, 55.41, 54.73, 54.87, 54.76, 55.25, 55.33, 55.79, 56.37, 55.54, 54.5, 53.81, 53.33, 53.31, 52.89, 53.33, 53.66]",0.0101,2025-07-19T00:10:01.768612
O000034,H00034,Hotels.com,Suite,352.8,1411.2,352.36,2.88,0.18,Free,True,False,,4,349.66,27.81,"[346.84, 345.87, 349.05, 345.5, 342.03, 340.44, 340.96, 341.06, 343.68, 348.47, 349.25, 352.45, 352.19, 350.23, 354.11, 353.18, 348.96, 351.97, 354.89, 356.53, 356.64, 355.86, 353.85, 357.75]",0.01,2025-07-19T00:10:01.768612
O000035,H00035,Travelocity,Family,105.7,528.5,106.61,2.18,0.164,Free,False,False,"Spa discount, Free parking",5,105.46,11.26,"[106.84, 108.83, 108.35, 110.05, 109.97, 110.93, 108.96, 111.68, 108.5, 104.05, 102.56, 101.93, 104.66, 103.36, 102.42, 102.81, 99.72, 104.51, 103.48, 105.15, 105.92, 102.19, 102.45, 101.58]",0.0244,2025-07-19T00:10:01.768612
O000036,H00036,Venere,Family,131.18,131.18,132.12,0.7,0.156,Free,False,False,,1,132.26,16.23,"[129.84, 131.79, 129.97, 130.11, 130.92, 127.46, 126.95, 128.18, 127.28, 131.2, 128.73, 132.39, 136.64, 139.2, 141.86, 139.76, 135.91, 136.24, 134.22, 133.45, 131.1, 129.36, 131.66, 129.99]",0.0209,2025-07-19T00:10:01.768612
O000037,H00037,Venere,Suite,251.18,251.18,251.83,2.7,0.138,Non-refundable,False,False,Free parking,1,252.56,12.76,"[251.95, 249.29, 249.31, 249.27, 251.27, 248.22, 248.35, 247.21, 251.05, 255.4, 257.55, 259.01, 258.06, 257.42, 256.32, 256.77, 254.99, 252.44, 251.24, 250.1, 247.49, 251.28, 253.18, 254.21]",0.009,2025-07-19T00:10:01.768612
O000038,H00038,Getaroom,Suite,223.11,892.44,221.72,2.09,0.194,Non-refundable,False,True,"Mobile exclusive, Airport shuttle",4,218.09,19.93,"[220.02, 214.06, 213.05, 211.08, 211.44, 213.62, 210.7, 215.15, 214.9, 221.46, 219.96, 224.64, 220.25, 220.47, 221.08, 215.3, 214.36, 218.25, 217.88, 224.44, 221.45, 224.55, 224.66, 221.39]",0.0161,2025-07-19T00:10:01.768612
O000039,H00039,HotelDirect,Family,52.8,158.4,51.41,2.8,0.148,Free,True,True,"Pay at hotel, Late checkout",3,53.21,0.67,"[53.35, 52.94, 52.45, 51.8, 51.85, 51.63, 52.08, 52.75, 52.76, 53.25, 53.23, 53.76, 54.49, 54.02, 54.31, 54.41, 54.16, 53.46, 53.49, 53.45, 53.17, 52.79, 53.98, 53.57]",0.0099,2025-07-19T00:10:01.768612
O000040,H00040,Kayak,Deluxe,98.06,98.06,99.48,0.63,0.173,Partial,True,True,,1,98.6,0.64,"[99.69, 99.96, 99.94, 98.71, 98.05, 98.9, 99.11, 97.27, 98.36, 97.95, 99.09, 98.89, 98.98, 99.89, 99.47, 98.83, 97.55, 97.75, 97.41, 98.0, 97.76, 98.24, 98.65, 98.0]",0.0107,2025-07-19T00:10:01.768612
O000041,H00041,Lastminute.com,Family,74.94,299.76,74.58,2.92,0.096,Free,False,True,Free parking,4,75.95,15.01,"[75.78, 73.35, 73.1, 70.73, 71.2, 70.48, 72.22, 72.69, 70.33, 70.71, 74.27, 75.86, 77.52, 80.02, 80.83, 79.88, 81.15, 81.98, 81.02, 79.83, 79.8, 77.24, 76.23, 76.54]",0.0206,2025-07-19T00:10:01.768612
O000042,H00042,Lastminute.com,Twin,269.76,269.76,262.36,1.4,0.194,Free,True,False,Free WiFi,1,259.77,58.59,"[261.08, 248.27, 253.53, 250.37, 264.93, 261.98, 261.27, 260.73, 253.0, 255.38, 256.53, 257.2, 255.17, 255.57, 247.66, 253.57, 253.23, 263.63, 266.68, 266.06, 267.15, 271.16, 276.18, 274.11]",0.025,2025-07-19T00:10:01.768612
O000043,H00043,Travelocity,Executive,103.73,311.19,102.11,2.1,0.113,Partial,False,False,Free cancellation,3,103.74,7.02,"[105.01, 105.97, 108.36, 108.92, 105.52, 104.69, 104.54, 105.0, 106.87, 105.16, 100.8, 99.92, 101.23, 101.29, 99.3, 100.68, 101.54, 101.3, 107.75, 104.1, 102.12, 103.57, 103.62, 102.6]",0.0228,2025-07-19T00:10:01.768612
O000044,H00044,Priceline,Family,322.92,968.76,316.98,2.14,0.135,Non-refundable,False,True,"Airport shuttle, Free cancellation",3,318.37,48.41,"[325.17, 322.86, 324.95, 326.8, 329.87, 327.95, 323.72, 318.5, 316.49, 310.36, 313.36, 312.19, 308.73, 312.71, 314.55, 314.57, 320.98, 323.98, 324.1, 324.55, 318.39, 313.41, 309.38, 303.24]",0.012,2025-07-19T00:10:01.768612
O000045,H00045,Hotels.com,Double,210.21,420.42,213.08,2.83,0.18,Partial,True,False,,2,212.44,2.0,"[212.67, 212.05, 211.09, 210.72, 209.71, 211.21, 212.25, 213.22, 212.7, 211.11, 212.16, 209.92, 211.56, 213.92, 215.03, 214.8, 213.09, 212.47, 211.87, 212.21, 212.35, 214.18, 213.54, 214.62]",0.0062,2025-07-19T00:10:01.768612
O000046,H00046,Booking.com,Twin,360.0,360.0,361.45,0.53,0.152,Free,False,True,Late checkout,1,365.0,178.88,"[353.35, 346.87, 349.74, 353.58, 347.69, 351.29, 350.21, 350.78, 354.66, 351.61, 355.56, 367.41, 365.89, 372.38, 376.2, 372.51, 376.43, 373.09, 379.14, 386.49, 384.91, 378.92, 381.7, 379.51]",0.0167,2025-07-19T00:10:01.768612
O000047,H00047,Travelocity,Family,458.34,1833.36,447.11,1.99,0.154,Free,False,True,Late checkout,4,456.97,18.01,"[457.83, 461.05, 463.12, 457.36, 451.89, 454.09, 450.34, 452.18, 449.79, 455.16, 456.88, 451.75, 453.83, 457.46, 458.17, 456.06, 458.06, 460.9, 462.9, 462.36, 465.85, 460.53, 455.39, 454.42]",0.0091,2025-07-19T00:10:01.768612
O000048,H00048,Kayak,Executive,507.92,507.92,525.5,2.73,0.129,Free,True,False,"Mobile exclusive, Pay at hotel",1,507.37,22.95,"[508.04, 503.81, 505.22, 503.89, 505.93, 507.12, 512.21, 516.56, 514.4, 514.4, 513.51, 512.13, 512.01, 507.45, 505.99, 508.84, 501.12, 497.58, 500.92, 504.52, 501.52, 504.68, 507.27, 507.82]",0.0051,2025-07-19T00:10:01.768612
O000049,H00049,Lastminute.com,Deluxe,90.58,452.9,89.68,2.86,0.096,Free,False,True,,5,90.61,8.65,"[88.91, 88.39, 91.12, 89.17, 90.66, 90.95, 91.96, 92.21, 90.91, 87.5, 85.12, 84.62, 86.48, 87.41, 89.57, 90.62, 90.59, 92.76, 93.19, 95.23, 95.39, 93.56, 94.26, 94.0]",0.0212,2025-07-19T00:10:01.768612
O000050,H00050,Venere,Executive,69.43,69.43,68.02,1.68,0.121,Free,False,False,Airport shuttle,1,72.18,3.54,"[68.58, 68.7, 69.82, 70.51, 69.91, 70.07, 72.48, 71.95, 71.93, 72.57, 72.11, 70.57, 72.25, 71.96, 72.71, 72.16, 74.03, 75.37, 74.89, 74.73, 74.34, 74.25, 73.44, 73.01]",0.0131,2025-07-19T00:10:01.768612
O000051,H00051,Orbitz,Executive,138.9,138.9,138.65,2.31,0.169,Free,False,False,,1,135.65,26.76,"[140.21, 144.34, 142.56, 139.76, 141.26, 137.92, 137.7, 132.86, 131.05, 135.79, 138.03, 136.31, 137.59, 138.76, 141.51, 136.68, 126.52, 126.87, 125.85, 127.14, 131.28, 132.89, 136.22, 136.42]",0.0234,2025-07-19T00:10:01.768612
O000052,H00052,Getaroom,Twin,385.15,770.3,385.39,2.28,0.122,Non-refundable,True,True,"Free WiFi, Free parking",2,384.14,7.61,"[387.1, 389.04, 387.92, 386.45, 387.62, 384.09, 381.81, 382.34, 381.53, 381.59, 380.08, 380.31, 380.87, 382.22, 381.3, 384.78, 383.1, 382.36, 387.68, 383.42, 385.14, 385.25, 384.46, 388.88]",0.0063,2025-07-19T00:10:01.768612
O000053,H00053,Expedia,Double,143.21,859.26,144.59,2.91,0.081,Non-refundable,True,True,,6,144.68,2.49,"[141.88, 143.98, 143.67, 144.09, 145.51, 144.41, 144.24, 145.42, 146.7, 147.6, 146.14, 146.99, 145.27, 147.34, 144.98, 145.51, 144.88, 145.04, 142.99, 141.68, 142.53, 142.93, 144.23, 144.22]",0.0101,2025-07-19T00:10:01.768612
O000054,H00054,Travelocity,Double,82.09,82.09,77.07,1.48,0.194,Partial,False,False,"Free cancellation, Pay at hotel",1,82.03,5.78,"[85.57, 85.33, 81.77, 80.43, 82.29, 82.6, 85.2, 87.44, 85.11, 83.54, 81.56, 82.28, 79.23, 78.72, 79.49, 83.11, 83.32, 81.53, 78.57, 80.2, 81.82, 81.14, 79.9, 78.57]",0.0243,2025-07-19T00:10:01.768612
O000055,H00055,Getaroom,Twin,283.32,1133.28,288.5,0.76,0.155,Partial,True,False,"Free breakfast, Free cancellation",4,287.6,8.86,"[283.42, 286.07, 286.27, 288.75, 289.07, 292.45, 293.08, 288.44, 289.89, 290.2, 290.19, 287.35, 287.68, 290.81, 290.72, 289.83, 286.72, 285.38, 285.74, 286.96, 284.99, 283.68, 283.1, 281.49]",0.0075,2025-07-19T00:10:01.768612
O000056,H00056,HRS,Single,179.17,179.17,181.58,1.92,0.195,Free,False,True,,1,186.46,21.32,"[180.77, 181.18, 180.88, 181.39, 183.1, 184.09, 186.65, 187.37, 193.94, 194.75, 193.28, 190.25, 192.13, 190.88, 191.08, 190.28, 189.35, 184.1, 185.36, 185.65, 182.22, 185.02, 180.06, 181.28]",0.0166,2025-07-19T00:10:01.768612
O000057,H00057,Orbitz,Double,99.12,99.12,98.42,1.33,0.118,Free,True,True,Free parking,1,101.96,9.14,"[98.69, 99.79, 104.49, 104.53, 105.22, 102.65, 101.17, 97.61, 97.23, 99.51, 97.64, 98.69, 98.38, 98.79, 102.46, 104.3, 103.7, 102.83, 101.39, 104.5, 105.54, 106.95, 105.53, 105.55]",0.0182,2025-07-19T00:10:01.768612
O000058,H00058,Expedia,Deluxe,183.6,550.8,183.61,2.72,0.129,Free,True,True,Free cancellation,3,181.6,4.85,"[187.38, 185.37, 182.24, 182.76, 183.18, 182.58, 184.41, 182.37, 182.68, 180.71, 178.64, 180.31, 180.7, 184.42, 180.96, 177.94, 181.18, 179.86, 180.29, 181.19, 180.4, 179.88, 180.36, 178.61]",0.0134,2025-07-19T00:10:01.768612
O000059,H00059,Hotwire,Single,178.01,712.04,176.22,1.53,0.093,Free,False,True,Free cancellation,4,180.07,13.04,"[181.35, 181.72, 187.22, 188.69, 186.34, 181.14, 179.07, 180.59, 179.55, 182.09, 179.27, 176.63, 174.66, 176.41, 176.19, 174.95, 177.07, 180.24, 176.15, 178.79, 178.26, 180.99, 181.21, 183.14]",0.0146,2025-07-19T00:10:01.768612
O000060,H00060,Expedia,Double,40.39,80.78,39.49,0.9,0.099,Non-refundable,True,False,,2,38.27,1.26,"[39.77, 39.65, 39.71, 38.75, 38.46, 38.57, 39.0, 38.38, 37.56, 36.9, 36.99, 36.82, 36.92, 36.94, 36.9, 36.91, 37.32, 38.18, 38.38, 38.81, 38.14, 39.2, 39.61, 40.68]",0.0175,2025-07-19T00:10:01.768612
O000061,H00061,Hotwire,Double,82.46,164.92,81.9,2.9,0.119,Free,False,True,,2,81.67,6.35,"[80.19, 80.08, 83.61, 79.31, 79.15, 77.42, 78.6, 80.99, 79.07, 80.27, 80.97, 82.46, 81.68, 83.69, 84.9, 84.77, 84.35, 85.51, 86.27, 85.41, 81.96, 78.75, 80.97, 79.73]",0.0222,2025-07-19T00:10:01.768612
O000062,H00062,Priceline,Suite,91.08,91.08,89.06,2.05,0.197,Free,False,False,Free parking,1,91.54,1.91,"[89.65, 90.59, 89.11, 89.94, 90.57, 90.52, 91.93, 92.96, 91.15, 91.22, 91.06, 92.41, 90.2, 90.29, 90.49, 91.78, 91.97, 92.34, 94.1, 93.59, 93.54, 93.94, 92.67, 90.97]",0.0128,2025-07-19T00:10:01.768612
O000063,H00063,HRS,Single,168.77,168.77,173.58,2.74,0.103,Partial,False,False,Kids stay free,1,168.28,15.5,"[170.35, 167.56, 168.98, 171.75, 171.25, 168.8, 171.25, 173.26, 172.97, 173.86, 172.28, 170.76, 170.68, 170.54, 167.57, 166.25, 163.74, 165.8, 166.95, 168.0, 161.83, 159.61, 160.77, 163.88]",0.0135,2025-07-19T00:10:01.768612
O000064,H00064,Hotwire,Suite,309.63,1238.52,312.08,2.96,0.122,Non-refundable,False,True,"Room upgrade, Free breakfast",4,316.92,60.96,"[312.48, 312.0, 305.76, 311.45, 315.16, 317.46, 318.64, 313.99, 321.29, 309.47, 308.0, 315.25, 314.22, 313.39, 308.57, 319.72, 326.01, 337.79, 335.06, 326.34, 309.58, 317.38, 318.8, 318.28]",0.0214,2025-07-19T00:10:01.768612
O000065,H00065,Getaroom,Suite,102.25,715.75,105.65,2.35,0.093,Free,True,False,,7,101.97,3.73,"[100.15, 99.98, 99.82, 100.04, 101.0, 100.97, 101.5, 99.69, 99.65, 100.02, 99.8, 101.54, 100.99, 102.01, 101.91, 102.66, 104.02, 104.77, 103.42, 103.99, 104.76, 104.68, 104.37, 105.43]",0.0126,2025-07-19T00:10:01.768612
O000066,H00066,Booking.com,Twin,39.6,79.2,39.01,2.1,0.09,Free,False,False,,2,40.04,0.47,"[39.29, 39.03, 39.05, 39.13, 40.07, 39.08, 39.34, 39.87, 40.25, 39.75, 39.85, 39.89, 39.74, 40.3, 41.31, 40.94, 40.95, 40.17, 40.07, 39.7, 40.51, 41.28, 40.78, 40.59]",0.0151,2025-07-19T00:10:01.768612
