offer_id,hotel_id,partner_name,room_type,price_per_night,total_price,trivago_displayed_price,cost_per_click_bid,commission_rate,partner_marketing_budget,cancellation_policy,breakfast_included,instant_booking,special_offers,nights,price_fluctuation_mean,price_fluctuation_variance,price_history_24h,variance_factor,last_updated
O000011,H00011,Booking.com,Single,135.0,135.0,136.34,0.79,0.135,170403.23,Free,False,True,,1,138.31,5.57,"[137.4, 136.92, 136.15, 138.46, 138.84, 137.27, 133.4, 137.44, 140.26, 138.24, 138.53, 140.35, 143.11, 142.65, 138.37, 140.42, 137.25, 135.69, 135.44, 135.89, 136.08, 141.32, 141.38, 138.55]",0.0204,2025-07-31T21:39:29.139632
O000012,H00012,Hotwire,Single,184.08,552.24,173.71,2.69,0.195,2553.8,Partial,True,True,Free breakfast,3,184.79,6.33,"[183.93, 183.11, 187.76, 185.91, 185.25, 186.16, 182.72, 185.25, 186.89, 185.08, 188.62, 184.78, 183.61, 188.23, 187.62, 182.87, 183.68, 182.83, 184.51, 187.87, 187.47, 179.99, 181.92, 178.91]",0.0176,2025-07-31T21:39:29.139632
O000013,H00013,Lastminute.com,Deluxe,187.07,561.21,185.92,1.21,0.169,9379.08,Free,True,False,,3,178.34,11.37,"[186.61, 185.05, 178.55, 176.93, 177.22, 178.07, 180.82, 184.42, 179.2, 177.6, 174.57, 176.43, 174.87, 178.01, 175.38, 177.42, 175.87, 181.33, 181.83, 175.59, 176.65, 172.59, 177.47, 177.57]",0.0222,2025-07-31T21:39:29.139632
O000014,H00014,Agoda,Deluxe,125.4,125.4,125.53,0.72,0.194,73309.52,Partial,True,True,Pay at hotel,1,125.3,6.32,"[125.35, 121.97, 120.06, 123.46, 126.81, 125.49, 126.43, 127.3, 129.83, 130.08, 127.83, 126.14, 126.86, 123.28, 120.1, 121.99, 127.23, 125.94, 125.6, 125.44, 125.9, 124.24, 124.1, 125.69]",0.0161,2025-07-31T21:39:29.139632
O000015,H00015,Expedia,Suite,131.27,656.35,127.24,1.06,0.156,62834.06,Partial,True,False,Airport shuttle,5,130.93,19.98,"[125.98, 128.0, 127.35, 127.06, 128.62, 128.65, 133.74, 130.8, 131.55, 131.7, 135.56, 135.59, 135.05, 135.54, 138.43, 137.9, 136.11, 132.86, 131.96, 132.04, 126.75, 124.3, 125.02, 121.77]",0.0187,2025-07-31T21:39:29.139632
O000016,H00016,HRS,Executive,137.05,685.25,138.54,0.94,0.131,9628.96,Partial,False,False,,5,132.19,4.19,"[134.24, 132.36, 130.89, 130.98, 130.73, 132.17, 129.72, 129.58, 131.38, 129.75, 129.98, 131.24, 133.24, 131.91, 132.62, 132.89, 131.84, 130.6, 129.39, 134.28, 135.85, 136.0, 135.02, 135.81]",0.0093,2025-07-31T21:39:29.139632
O000017,H00017,Hotels.com,Twin,315.31,1891.86,311.53,2.47,0.083,37970.31,Free,True,True,,6,314.35,33.47,"[313.06, 313.11, 312.85, 319.8, 321.6, 321.44, 318.13, 316.88, 311.49, 314.79, 316.51, 301.77, 305.72, 306.3, 314.63, 309.06, 319.18, 322.05, 323.74, 320.75, 307.26, 308.17, 311.96, 314.24]",0.0146,2025-07-31T21:39:29.139632
O000018,H00018,Agoda,Double,74.1,148.2,74.06,1.01,0.137,102341.64,Free,False,False,"Free WiFi, Mobile exclusive",2,80.01,6.14,"[78.41, 78.66, 77.47, 80.08, 83.77, 85.47, 85.12, 84.27, 81.1, 81.33, 81.61, 79.38, 79.25, 80.81, 80.01, 80.25, 76.68, 79.51, 78.15, 77.47, 77.72, 77.22, 78.62, 77.8]",0.0231,2025-07-31T21:39:29.139632
O000019,H00019,Orbitz,Double,378.87,1136.61,385.29,0.88,0.118,59181.99,Non-refundable,True,True,,3,363.05,247.73,"[357.47, 352.68, 340.56, 344.0, 337.48, 339.05, 342.55, 349.62, 357.42, 352.66, 363.28, 364.37, 358.91, 366.49, 380.17, 383.66, 384.24, 391.1, 378.72, 367.58, 374.44, 383.04, 375.98, 367.66]",0.0218,2025-07-31T21:39:29.139632
O000020,H00020,Hotwire,Single,101.58,101.58,100.07,2.85,0.134,2246.61,Non-refundable,False,True,Room upgrade,1,103.3,3.71,"[101.34, 102.08, 100.74, 100.78, 100.54, 101.08, 101.01, 100.31, 102.08, 103.29, 103.4, 103.78, 103.07, 103.17, 105.2, 106.0, 104.94, 105.1, 104.99, 105.23, 106.47, 105.5, 105.14, 104.07]",0.0082,2025-07-31T21:39:29.139632
O000021,H00021,Lastminute.com,Family,136.68,273.36,141.96,2.81,0.121,4502.54,Free,True,False,,2,139.69,12.22,"[136.75, 135.27, 136.48, 138.03, 139.27, 135.71, 136.16, 134.89, 134.66, 136.82, 135.96, 140.65, 142.5, 143.16, 143.67, 143.71, 147.16, 142.81, 144.54, 142.02, 141.26, 141.36, 139.44, 140.39]",0.0181,2025-07-31T21:39:29.139632
O000022,H00022,Otel.com,Suite,588.08,2940.4,615.31,1.23,0.182,5843.47,Partial,True,False,"Spa discount, Free parking",5,570.43,154.3,"[583.25, 580.37, 586.01, 593.06, 595.2, 590.93, 577.22, 564.53, 564.05, 566.6, 564.81, 557.44, 549.17, 552.44, 565.24, 560.33, 561.52, 557.07, 563.51, 563.72, 572.96, 574.67, 576.32, 569.98]",0.0145,2025-07-31T21:39:29.139632
O000023,H00023,Kayak,Single,145.39,290.78,142.2,2.61,0.172,23984.41,Non-refundable,False,False,Late checkout,2,146.97,2.16,"[146.38, 145.39, 148.19, 146.76, 146.38, 146.22, 146.37, 146.15, 145.69, 145.23, 145.79, 145.95, 145.95, 145.65, 145.31, 146.66, 147.01, 147.66, 149.19, 150.41, 149.82, 149.19, 148.42, 147.59]",0.0072,2025-07-31T21:39:29.139632
O000024,H00024,Hotels.com,Deluxe,141.12,423.36,143.67,2.07,0.178,36939.43,Free,True,True,"Mobile exclusive, Pay at hotel",3,142.05,43.0,"[143.22, 142.05, 140.55, 136.52, 140.43, 140.59, 141.49, 134.08, 132.7, 135.68, 136.82, 135.3, 135.28, 140.77, 140.17, 140.54, 140.55, 141.12, 144.29, 150.66, 154.06, 154.03, 156.52, 151.82]",0.0196,2025-07-31T21:39:29.139632
O000025,H00025,Travelocity,Double,104.97,314.91,104.6,2.42,0.136,20769.81,Partial,True,False,,3,104.35,4.21,"[103.63, 104.78, 108.87, 105.53, 106.6, 105.43, 103.49, 104.21, 107.98, 107.84, 106.28, 104.12, 104.71, 104.4, 102.76, 101.67, 102.82, 101.83, 101.29, 101.01, 102.82, 103.84, 103.74, 104.87]",0.0206,2025-07-31T21:39:29.139632
O000026,H00026,Agoda,Executive,57.0,171.0,57.3,1.02,0.18,76893.8,Free,False,True,Airport shuttle,3,58.52,0.61,"[57.5, 57.57, 57.7, 57.78, 57.3, 57.99, 57.79, 58.59, 57.92, 58.32, 58.35, 58.32, 57.97, 58.25, 58.45, 59.25, 59.46, 59.14, 58.82, 58.89, 59.52, 59.59, 59.96, 59.95]",0.009,2025-07-31T21:39:29.139632
O000027,H00027,Lastminute.com,Single,109.79,329.37,109.41,2.36,0.154,7222.61,Partial,False,False,"Free cancellation, Free WiFi",3,107.56,4.05,"[109.22, 107.03, 108.05, 103.67, 104.48, 105.9, 106.6, 105.99, 104.66, 106.9, 107.51, 105.88, 105.2, 106.85, 108.53, 108.57, 110.62, 110.76, 109.82, 108.03, 110.63, 108.05, 108.04, 110.48]",0.0117,2025-07-31T21:39:29.139632
O000028,H00028,Priceline,Executive,331.2,331.2,329.98,3.77,0.102,45805.75,Non-refundable,False,True,Late checkout,1,333.53,32.64,"[329.44, 327.33, 324.25, 325.46, 325.97, 328.99, 324.73, 325.71, 330.33, 330.67, 332.96, 338.76, 341.81, 337.7, 336.59, 337.23, 336.76, 339.79, 339.31, 338.72, 341.07, 337.04, 337.98, 336.05]",0.008,2025-07-31T21:39:29.139632
O000029,H00029,Priceline,Twin,496.8,496.8,477.13,4.16,0.169,28782.33,Free,False,True,,1,502.4,99.11,"[499.84, 509.35, 505.01, 502.76, 516.33, 515.45, 512.05, 522.84, 507.13, 510.52, 501.8, 497.73, 501.5, 483.96, 501.54, 506.37, 512.45, 503.8, 491.61, 492.74, 487.26, 483.81, 497.01, 494.85]",0.0178,2025-07-31T21:39:29.139632
O000030,H00030,Orbitz,Deluxe,211.41,211.41,213.71,1.25,0.181,20514.86,Free,False,False,Free cancellation,1,206.42,16.3,"[212.7, 202.45, 210.17, 208.29, 206.69, 209.46, 211.15, 205.95, 206.38, 208.09, 205.41, 208.4, 204.21, 206.62, 201.77, 200.81, 195.79, 199.3, 204.16, 210.33, 208.98, 206.47, 210.17, 210.44]",0.0169,2025-07-31T21:39:29.139632
O000031,H00031,Orbitz,Family,68.53,137.06,68.28,0.74,0.187,38045.18,Free,False,False,Kids stay free,2,69.15,4.05,"[70.36, 72.14, 71.36, 71.44, 70.74, 70.56, 70.65, 67.48, 69.45, 67.03, 68.94, 69.9, 71.28, 70.12, 69.68, 70.81, 68.4, 66.9, 64.39, 66.1, 65.88, 67.3, 68.45, 70.21]",0.0231,2025-07-31T21:39:29.139632
O000032,H00032,Priceline,Executive,55.2,165.6,54.69,0.5,0.132,65906.82,Free,True,True,,3,54.35,0.19,"[55.11, 54.89, 54.57, 55.21, 54.78, 54.2, 54.37, 54.18, 54.14, 53.76, 53.96, 54.11, 54.47, 54.68, 54.61, 54.13, 53.93, 53.73, 53.45, 53.95, 54.45, 54.33, 54.63, 54.74]",0.006,2025-07-31T21:39:29.139632
O000033,H00033,Otel.com,Family,64.19,192.57,65.35,2.2,0.141,5823.9,Free,True,False,"Free WiFi, Mobile exclusive",3,62.17,1.89,"[62.8, 62.99, 62.81, 62.15, 63.81, 62.96, 61.07, 62.33, 62.25, 63.33, 63.45, 64.12, 63.2, 64.8, 63.22, 60.95, 60.27, 60.04, 61.62, 61.02, 60.61, 60.91, 59.34, 61.99]",0.0216,2025-07-31T21:39:29.139632
O000034,H00034,Hotels.com,Suite,352.8,352.8,349.69,1.66,0.176,54855.34,Free,True,False,,1,348.67,33.21,"[346.98, 351.05, 354.31, 357.02, 357.69, 346.84, 337.86, 340.93, 346.08, 342.01, 353.05, 349.08, 356.61, 346.14, 341.31, 344.03, 342.51, 348.14, 350.0, 359.07, 355.67, 348.76, 347.56, 345.3]",0.0185,2025-07-31T21:39:29.139632
O000035,H00035,Travelocity,Family,110.85,221.7,107.56,2.95,0.085,8913.0,Partial,False,False,"Spa discount, Free parking",2,110.85,19.13,"[110.64, 107.89, 109.55, 106.53, 106.66, 106.71, 109.16, 105.66, 105.9, 104.64, 109.24, 114.42, 117.02, 118.8, 117.75, 117.05, 115.81, 116.39, 114.36, 111.41, 110.04, 108.75, 105.72, 110.21]",0.0241,2025-07-31T21:39:29.139632
O000036,H00036,Venere,Family,137.34,686.7,139.76,2.84,0.111,11151.72,Free,False,False,,5,140.25,15.21,"[142.22, 141.66, 144.44, 145.61, 139.45, 141.32, 137.96, 137.21, 142.22, 140.32, 143.47, 140.32, 144.51, 143.8, 144.78, 144.13, 143.86, 139.53, 137.92, 135.75, 131.97, 132.47, 136.85, 134.24]",0.0226,2025-07-31T21:39:29.139632
O000037,H00037,Venere,Suite,253.13,759.39,255.03,2.01,0.174,13223.55,Free,False,False,Free parking,3,256.4,108.4,"[256.8, 261.43, 268.58, 261.16, 255.94, 251.15, 245.5, 237.85, 238.69, 236.11, 241.64, 249.83, 250.1, 256.13, 256.08, 262.56, 271.4, 265.87, 269.45, 270.67, 267.83, 259.47, 259.87, 259.53]",0.0249,2025-07-31T21:39:29.139632
O000038,H00038,Getaroom,Suite,234.16,702.48,231.82,0.75,0.173,3843.25,Partial,False,True,"Mobile exclusive, Airport shuttle",3,222.59,17.93,"[229.07, 228.48, 230.24, 224.36, 222.66, 224.71, 223.46, 224.08, 226.33, 224.9, 222.03, 219.2, 212.15, 215.13, 215.51, 220.66, 223.58, 224.38, 226.11, 220.49, 222.42, 222.29, 220.38, 219.59]",0.0156,2025-07-31T21:39:29.139632
O000039,H00039,HotelDirect,Family,52.8,211.2,52.54,0.67,0.109,29203.61,Free,True,True,"Pay at hotel, Late checkout",4,53.51,7.45,"[53.39, 51.68, 51.5, 49.83, 50.17, 49.66, 50.89, 51.22, 49.55, 49.82, 52.33, 53.45, 54.62, 56.38, 56.95, 56.28, 57.18, 57.76, 57.08, 56.25, 56.23, 54.42, 53.71, 53.93]",0.0206,2025-07-31T21:39:29.139632
O000040,H00040,Kayak,Deluxe,93.36,653.52,90.8,2.09,0.168,63018.48,Free,True,True,,7,90.84,1.85,"[91.66, 91.38, 91.28, 93.06, 91.84, 92.48, 92.73, 91.52, 91.69, 90.22, 90.45, 90.34, 91.53, 90.79, 88.32, 87.89, 88.9, 89.29, 88.82, 90.47, 90.28, 91.35, 91.48, 92.36]",0.0132,2025-07-31T21:39:29.139632
O000041,H00041,Lastminute.com,Family,85.37,341.48,83.27,1.38,0.105,6717.29,Non-refundable,False,True,Free parking,4,84.44,2.15,"[86.12, 85.64, 85.57, 85.85, 86.97, 85.97, 83.39, 82.88, 83.67, 83.72, 82.54, 83.38, 83.89, 83.76, 87.6, 85.44, 84.27, 85.14, 85.18, 84.58, 83.39, 81.68, 82.98, 82.95]",0.0165,2025-07-31T21:39:29.139632
O000042,H00042,Lastminute.com,Twin,285.82,1143.28,290.34,1.55,0.188,2352.52,Free,True,False,Free WiFi,4,278.5,12.73,"[284.45, 287.2, 282.74, 279.86, 278.85, 279.01, 276.71, 274.47, 276.46, 279.5, 277.37, 273.57, 274.49, 276.51, 273.67, 279.56, 277.1, 276.7, 276.38, 274.29, 280.58, 277.9, 283.77, 282.92]",0.0116,2025-07-31T21:39:29.139632
O000043,H00043,Travelocity,Executive,102.12,306.36,100.97,0.71,0.119,41621.27,Free,False,False,Free cancellation,3,104.83,2.13,"[101.76, 103.21, 104.21, 105.15, 104.64, 103.09, 104.1, 101.93, 103.51, 105.8, 106.88, 106.65, 104.98, 104.38, 103.79, 104.11, 104.26, 106.03, 105.4, 106.45, 106.48, 106.1, 106.17, 106.78]",0.0124,2025-07-31T21:39:29.139632
O000044,H00044,Priceline,Family,322.92,968.76,312.33,1.7,0.124,85841.19,Free,False,True,"Airport shuttle, Free cancellation",3,320.06,45.68,"[323.49, 315.96, 319.45, 325.75, 332.24, 332.68, 322.71, 320.21, 317.6, 322.58, 324.88, 329.75, 325.65, 326.69, 313.82, 312.02, 304.36, 314.9, 317.88, 320.49, 313.84, 313.58, 317.7, 313.14]",0.018,2025-07-31T21:39:29.139632
O000045,H00045,Hotels.com,Double,210.21,210.21,213.47,0.95,0.15,146974.32,Free,True,False,,1,219.37,30.23,"[217.01, 211.1, 212.93, 216.44, 216.84, 214.25, 216.06, 218.79, 220.64, 219.79, 223.26, 217.31, 211.58, 210.31, 217.64, 224.38, 229.64, 228.87, 220.61, 222.18, 219.05, 221.8, 223.11, 231.22]",0.0212,2025-07-31T21:39:29.139632
O000046,H00046,Booking.com,Twin,360.0,1080.0,373.44,3.95,0.194,85791.6,Partial,False,True,Late checkout,3,363.69,16.05,"[361.35, 360.55, 360.03, 359.13, 360.04, 360.04, 361.45, 359.97, 359.85, 363.3, 367.77, 366.84, 369.5, 371.91, 373.18, 368.48, 364.82, 363.43, 362.12, 359.93, 361.2, 362.53, 366.49, 364.78]",0.0067,2025-07-31T21:39:29.139632
O000047,H00047,Travelocity,Family,442.63,442.63,431.23,3.49,0.139,8275.01,Free,False,True,Late checkout,1,461.85,39.81,"[452.78, 449.99, 454.25, 455.82, 461.09, 463.15, 462.03, 467.5, 467.86, 473.05, 472.68, 466.46, 467.8, 466.33, 459.64, 467.57, 466.39, 464.3, 459.14, 452.99, 452.96, 459.25, 462.87, 458.44]",0.0129,2025-07-31T21:39:29.139632
O000048,H00048,Kayak,Executive,506.09,1518.27,508.18,2.12,0.114,22906.69,Non-refundable,True,False,"Mobile exclusive, Pay at hotel",3,496.43,48.11,"[502.08, 488.43, 483.99, 491.62, 492.97, 499.57, 507.52, 508.79, 505.86, 500.77, 500.73, 496.67, 491.66, 489.25, 488.8, 488.5, 488.94, 491.86, 491.7, 496.07, 500.02, 505.17, 504.64, 498.71]",0.0101,2025-07-31T21:39:29.139632
O000049,H00049,Lastminute.com,Deluxe,103.85,519.25,105.37,0.56,0.099,5231.06,Free,False,True,,5,103.5,2.96,"[104.05, 102.9, 100.46, 100.56, 100.33, 100.66, 101.68, 102.09, 102.91, 102.98, 103.05, 103.79, 104.45, 105.28, 105.37, 104.74, 104.65, 105.24, 105.83, 105.43, 104.92, 105.27, 104.09, 103.33]",0.0076,2025-07-31T21:39:29.139632
O000050,H00050,Venere,Executive,65.92,65.92,66.12,1.87,0.165,4080.31,Free,False,False,Airport shuttle,1,71.14,6.89,"[67.87, 68.68, 69.42, 69.07, 67.83, 69.33, 68.99, 67.28, 69.55, 73.08, 72.96, 73.15, 75.51, 74.58, 75.84, 74.49, 74.78, 72.89, 72.15, 69.35, 69.92, 70.32, 68.56, 71.73]",0.024,2025-07-31T21:39:29.139632
O000051,H00051,Orbitz,Executive,155.31,155.31,152.59,0.86,0.134,41401.54,Free,False,False,,1,154.61,18.01,"[156.8, 162.15, 156.44, 157.93, 156.51, 157.06, 152.07, 148.94, 151.21, 152.31, 155.66, 155.76, 145.25, 148.57, 151.6, 158.08, 157.81, 151.55, 149.27, 152.8, 153.5, 158.33, 162.52, 158.43]",0.0232,2025-07-31T21:39:29.139632
O000052,H00052,Getaroom,Twin,374.81,749.62,369.18,2.52,0.17,1266.58,Free,True,True,"Free WiFi, Free parking",2,378.47,11.62,"[379.98, 382.76, 379.9, 376.59, 375.02, 371.52, 373.64, 375.35, 377.6, 377.58, 377.74, 374.94, 375.62, 378.73, 377.46, 378.34, 378.33, 376.83, 378.01, 382.38, 385.44, 382.81, 382.7, 384.13]",0.007,2025-07-31T21:39:29.139632
O000053,H00053,Expedia,Double,143.21,429.63,140.48,2.2,0.11,175842.19,Free,True,True,,3,145.15,2.78,"[144.26, 143.47, 144.08, 144.27, 143.46, 143.4, 144.22, 144.56, 143.16, 143.69, 143.83, 143.73, 143.9, 144.47, 144.8, 145.65, 145.88, 148.05, 148.32, 147.84, 146.84, 147.46, 147.05, 147.12]",0.0069,2025-07-31T21:39:29.139632
O000054,H00054,Travelocity,Double,85.42,341.68,85.29,1.1,0.192,8647.1,Non-refundable,False,False,"Free cancellation, Pay at hotel",4,83.6,5.52,"[85.72, 86.37, 87.13, 84.42, 85.17, 82.74, 82.89, 83.85, 81.21, 81.5, 81.17, 81.01, 82.39, 85.37, 86.47, 86.45, 84.4, 86.49, 86.19, 83.64, 82.0, 80.28, 78.88, 80.72]",0.0184,2025-07-31T21:39:29.139632
O000055,H00055,Getaroom,Twin,270.87,541.74,274.28,1.69,0.124,2179.85,Non-refundable,True,False,"Free breakfast, Free cancellation",2,258.31,28.39,"[262.43, 267.59, 264.94, 266.16, 266.41, 260.85, 256.05, 250.52, 251.29, 245.55, 255.51, 263.88, 260.57, 254.97, 256.66, 258.13, 257.52, 261.77, 258.21, 259.34, 255.85, 252.15, 255.94, 257.14]",0.0183,2025-07-31T21:39:29.139632
O000056,H00056,HRS,Single,196.59,589.77,202.59,1.88,0.185,9906.25,Free,False,True,,3,197.48,7.58,"[198.29, 198.48, 196.44, 195.95, 198.46, 197.9, 196.96, 199.31, 203.18, 202.27, 199.13, 199.14, 198.42, 200.92, 198.46, 196.75, 196.1, 197.34, 195.44, 197.38, 196.48, 193.83, 192.48, 190.29]",0.0094,2025-07-31T21:39:29.139632
O000057,H00057,Orbitz,Double,106.17,106.17,104.46,1.4,0.169,43812.26,Free,True,True,Free parking,1,103.63,2.44,"[107.4, 106.23, 105.41, 106.2, 105.14, 104.53, 104.45, 104.57, 103.58, 103.32, 103.48, 103.97, 103.34, 102.51, 101.83, 101.96, 101.8, 101.94, 101.99, 101.97, 102.0, 102.47, 103.4, 103.64]",0.0071,2025-07-31T21:39:29.139632
O000058,H00058,Expedia,Deluxe,183.6,183.6,185.4,0.73,0.087,153022.37,Free,True,True,Free cancellation,1,174.69,34.35,"[184.63, 179.22, 178.38, 174.58, 176.33, 179.16, 172.88, 163.75, 169.68, 166.73, 165.86, 163.47, 168.1, 171.81, 171.33, 174.06, 175.41, 176.77, 179.07, 179.27, 177.88, 180.94, 181.57, 181.64]",0.0179,2025-07-31T21:39:29.139632
O000059,H00059,Hotwire,Single,175.44,175.44,176.22,2.29,0.118,2913.83,Free,False,True,Free cancellation,1,170.91,9.21,"[175.27, 173.88, 169.98, 169.56, 167.75, 165.67, 167.66, 165.46, 167.21, 168.61, 168.83, 171.54, 173.58, 170.71, 171.07, 171.04, 173.58, 169.97, 170.33, 170.85, 173.26, 173.75, 174.56, 177.74]",0.0114,2025-07-31T21:39:29.139632
O000060,H00060,Expedia,Double,40.39,282.73,40.13,1.99,0.177,63769.76,Partial,True,False,,7,40.53,0.74,"[39.91, 40.25, 41.04, 41.42, 42.41, 41.72, 41.53, 40.63, 40.35, 40.64, 40.77, 40.45, 40.37, 39.28, 39.35, 40.27, 39.42, 39.45, 40.26, 39.7, 39.62, 40.31, 41.75, 41.83]",0.0144,2025-07-31T21:39:29.139632
O000061,H00061,Hotwire,Double,81.06,405.3,81.61,1.38,0.168,2959.92,Free,False,True,,5,83.34,4.0,"[81.85, 82.56, 82.4, 80.73, 82.18, 83.12, 83.69, 83.97, 82.73, 84.61, 81.49, 81.08, 82.96, 82.67, 82.43, 81.15, 84.05, 85.68, 88.75, 88.02, 85.72, 81.32, 83.35, 83.71]",0.0214,2025-07-31T21:39:29.139632
O000062,H00062,Priceline,Suite,91.08,182.16,91.06,1.33,0.188,28703.57,Free,False,False,Free parking,2,90.32,9.27,"[89.54, 89.08, 89.84, 89.97, 89.09, 85.66, 85.52, 85.51, 85.08, 87.31, 87.12, 89.4, 90.21, 91.05, 92.28, 92.75, 92.1, 92.74, 93.91, 94.51, 92.2, 93.31, 94.27, 95.33]",0.0167,2025-07-31T21:39:29.139632
O000063,H00063,HRS,Single,162.22,162.22,155.76,1.57,0.096,3427.68,Non-refundable,False,False,Kids stay free,1,164.31,7.04,"[158.57, 159.82, 162.27, 164.05, 161.87, 162.34, 162.57, 161.96, 164.54, 169.16, 167.53, 167.6, 164.09, 163.69, 162.06, 165.74, 169.25, 167.02, 166.18, 164.22, 164.72, 166.39, 164.61, 163.21]",0.0167,2025-07-31T21:39:29.139632
O000064,H00064,Hotwire,Suite,265.25,1591.5,272.72,1.89,0.105,1128.39,Free,False,True,"Room upgrade, Free breakfast",6,257.9,67.39,"[269.58, 265.58, 266.03, 260.88, 261.27, 263.25, 262.29, 263.7, 264.8, 266.71, 262.76, 266.38, 265.29, 259.96, 257.26, 253.61, 252.46, 250.33, 246.14, 241.7, 242.8, 248.51, 249.78, 248.63]",0.0128,2025-07-31T21:39:29.139632
O000065,H00065,Getaroom,Suite,102.73,513.65,105.58,0.78,0.178,3700.98,Free,True,False,,5,94.65,8.21,"[100.53, 99.99, 99.47, 98.45, 97.2, 96.23, 92.91, 95.3, 92.67, 95.45, 95.54, 94.25, 91.51, 92.91, 90.55, 90.08, 92.2, 92.34, 91.91, 92.31, 94.57, 94.13, 94.74, 96.42]",0.0174,2025-07-31T21:39:29.139632
